height,weight,bmi,cat,age,high,low,normal
166,49,17,high,38,Chakrasana (Wheel Pose),Utkatasana (Chair pose),Corpse Pose (Savasana)
196,43,11,high,34,Dhanurasana (Bow Pose),Trikonasana (Triangle Pose),Legs Up the Wall ( Viparita Karani)
179,43,13,high,32,Bhujangasana (Cobra Pose),Virabhadrasana 2 ( Warrior 2),Cat-Cow Stretch (Marjaryasana-Bitilasana)
186,52,15,high,45,Vajrasana (Diamond/ Thunderbolt Pose),Dhanurasana (Bow pose),Downward Facing Dog (Adho Mukha Shwanasana)
170,53,18,high,48,Sarvangasana (Shoulder Stand),Setu Bandha Sarvangasana (Bridge Pose),Knees to Chest (Apanasana)
169,51,17,high,56,Matsyasana (Fish Pose),Bhujangasana  (Cobra pose),Cobbler’s Pose (Baddha Konasana)
179,40,12,high,58,Pavanamuktasana (Wind Relieving Pose),Navasana (Boat Pose),Locust Pose (Salabhasana)
192,56,15,high,56,Savasana (Corpse Pose),Utkatasana (Chair pose),Dandasana (plank pose)
167,44,15,high,20,Supta Badhakonasana (Reclining butterfly pose),Trikonasana (Triangle Pose),Viparita Karni (Inclined pose)
180,41,12,high,17,Chakrasana (Wheel Pose),Virabhadrasana 2 ( Warrior 2),Corpse Pose (Savasana)
199,65,16,high,52,Dhanurasana (Bow Pose),Dhanurasana (Bow pose),Legs Up the Wall ( Viparita Karani)
185,41,11,high,35,Bhujangasana (Cobra Pose),Setu Bandha Sarvangasana (Bridge Pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
198,66,16,high,47,Vajrasana (Diamond/ Thunderbolt Pose),Bhujangasana  (Cobra pose),Downward Facing Dog (Adho Mukha Shwanasana)
170,49,16,high,50,Sarvangasana (Shoulder Stand),Navasana (Boat Pose),Knees to Chest (Apanasana)
144,40,19,high,20,Matsyasana (Fish Pose),Utkatasana (Chair pose),Cobbler’s Pose (Baddha Konasana)
168,56,19,high,59,Pavanamuktasana (Wind Relieving Pose),Trikonasana (Triangle Pose),Locust Pose (Salabhasana)
164,51,18,high,18,Savasana (Corpse Pose),Virabhadrasana 2 ( Warrior 2),Dandasana (plank pose)
184,60,17,high,36,Supta Badhakonasana (Reclining butterfly pose),Dhanurasana (Bow pose),Viparita Karni (Inclined pose)
191,62,16,high,49,Chakrasana (Wheel Pose),Setu Bandha Sarvangasana (Bridge Pose),Corpse Pose (Savasana)
171,42,14,high,33,Dhanurasana (Bow Pose),Bhujangasana  (Cobra pose),Legs Up the Wall ( Viparita Karani)
186,55,15,high,57,Bhujangasana (Cobra Pose),Navasana (Boat Pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
198,52,13,high,58,Chakrasana (Wheel Pose),Utkatasana (Chair pose),Downward Facing Dog (Adho Mukha Shwanasana)
193,58,15,high,31,Dhanurasana (Bow Pose),Trikonasana (Triangle Pose),Knees to Chest (Apanasana)
178,55,17,high,26,Bhujangasana (Cobra Pose),Virabhadrasana 2 ( Warrior 2),Cobbler’s Pose (Baddha Konasana)
196,65,16,high,35,Vajrasana (Diamond/ Thunderbolt Pose),Dhanurasana (Bow pose),Locust Pose (Salabhasana)
172,44,14,high,20,Sarvangasana (Shoulder Stand),Setu Bandha Sarvangasana (Bridge Pose),Dandasana (plank pose)
158,40,16,high,26,Matsyasana (Fish Pose),Bhujangasana  (Cobra pose),Viparita Karni (Inclined pose)
189,42,11,high,19,Pavanamuktasana (Wind Relieving Pose),Navasana (Boat Pose),Corpse Pose (Savasana)
156,41,16,high,17,Savasana (Corpse Pose),Utkatasana (Chair pose),Legs Up the Wall ( Viparita Karani)
187,46,13,high,17,Supta Badhakonasana (Reclining butterfly pose),Trikonasana (Triangle Pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
192,63,17,high,59,Chakrasana (Wheel Pose),Virabhadrasana 2 ( Warrior 2),Downward Facing Dog (Adho Mukha Shwanasana)
184,45,13,high,55,Dhanurasana (Bow Pose),Dhanurasana (Bow pose),Knees to Chest (Apanasana)
199,67,16,high,24,Bhujangasana (Cobra Pose),Setu Bandha Sarvangasana (Bridge Pose),Cobbler’s Pose (Baddha Konasana)
193,56,15,high,26,Vajrasana (Diamond/ Thunderbolt Pose),Bhujangasana  (Cobra pose),Locust Pose (Salabhasana)
156,40,16,high,20,Sarvangasana (Shoulder Stand),Navasana (Boat Pose),Dandasana (plank pose)
161,49,18,high,52,Matsyasana (Fish Pose),Utkatasana (Chair pose),Viparita Karni (Inclined pose)
156,42,17,high,17,Pavanamuktasana (Wind Relieving Pose),Trikonasana (Triangle Pose),Corpse Pose (Savasana)
141,88,44,low,55,Savasana (Corpse Pose),Virabhadrasana 2 ( Warrior 2),Legs Up the Wall ( Viparita Karani)
174,104,34,low,29,Supta Badhakonasana (Reclining butterfly pose),Dhanurasana (Bow pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
150,70,31,low,51,Chakrasana (Wheel Pose),Setu Bandha Sarvangasana (Bridge Pose),Downward Facing Dog (Adho Mukha Shwanasana)
143,57,27,low,59,Dhanurasana (Bow Pose),Bhujangasana  (Cobra pose),Knees to Chest (Apanasana)
140,54,27,low,35,Bhujangasana (Cobra Pose),Navasana (Boat Pose),Cobbler’s Pose (Baddha Konasana)
140,67,34,low,37,Chakrasana (Wheel Pose),Utkatasana (Chair pose),Locust Pose (Salabhasana)
181,109,33,low,44,Dhanurasana (Bow Pose),Trikonasana (Triangle Pose),Dandasana (plank pose)
165,97,35,low,30,Bhujangasana (Cobra Pose),Virabhadrasana 2 ( Warrior 2),Viparita Karni (Inclined pose)
141,100,50,low,29,Vajrasana (Diamond/ Thunderbolt Pose),Dhanurasana (Bow pose),Corpse Pose (Savasana)
178,106,33,low,24,Sarvangasana (Shoulder Stand),Setu Bandha Sarvangasana (Bridge Pose),Legs Up the Wall ( Viparita Karani)
184,92,27,low,24,Matsyasana (Fish Pose),Bhujangasana  (Cobra pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
167,91,32,low,53,Pavanamuktasana (Wind Relieving Pose),Navasana (Boat Pose),Downward Facing Dog (Adho Mukha Shwanasana)
168,81,28,low,38,Savasana (Corpse Pose),Utkatasana (Chair pose),Knees to Chest (Apanasana)
179,102,31,low,35,Supta Badhakonasana (Reclining butterfly pose),Trikonasana (Triangle Pose),Cobbler’s Pose (Baddha Konasana)
150,61,27,low,52,Chakrasana (Wheel Pose),Virabhadrasana 2 ( Warrior 2),Locust Pose (Salabhasana)
151,67,29,low,43,Dhanurasana (Bow Pose),Dhanurasana (Bow pose),Dandasana (plank pose)
163,81,30,low,19,Bhujangasana (Cobra Pose),Setu Bandha Sarvangasana (Bridge Pose),Viparita Karni (Inclined pose)
178,104,32,low,34,Vajrasana (Diamond/ Thunderbolt Pose),Bhujangasana  (Cobra pose),Corpse Pose (Savasana)
146,68,31,low,58,Sarvangasana (Shoulder Stand),Navasana (Boat Pose),Legs Up the Wall ( Viparita Karani)
157,91,36,low,40,Matsyasana (Fish Pose),Utkatasana (Chair pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
141,82,41,low,20,Pavanamuktasana (Wind Relieving Pose),Trikonasana (Triangle Pose),Downward Facing Dog (Adho Mukha Shwanasana)
145,109,51,low,39,Savasana (Corpse Pose),Virabhadrasana 2 ( Warrior 2),Knees to Chest (Apanasana)
181,97,29,low,49,Supta Badhakonasana (Reclining butterfly pose),Dhanurasana (Bow pose),Cobbler’s Pose (Baddha Konasana)
156,78,32,low,41,Chakrasana (Wheel Pose),Setu Bandha Sarvangasana (Bridge Pose),Locust Pose (Salabhasana)
190,98,27,low,56,Dhanurasana (Bow Pose),Bhujangasana  (Cobra pose),Dandasana (plank pose)
140,74,37,low,51,Bhujangasana (Cobra Pose),Navasana (Boat Pose),Viparita Karni (Inclined pose)
158,75,30,low,46,Chakrasana (Wheel Pose),Utkatasana (Chair pose),Corpse Pose (Savasana)
171,77,26,low,24,Dhanurasana (Bow Pose),Trikonasana (Triangle Pose),Legs Up the Wall ( Viparita Karani)
157,79,32,low,38,Bhujangasana (Cobra Pose),Virabhadrasana 2 ( Warrior 2),Cat-Cow Stretch (Marjaryasana-Bitilasana)
159,73,28,low,22,Vajrasana (Diamond/ Thunderbolt Pose),Dhanurasana (Bow pose),Downward Facing Dog (Adho Mukha Shwanasana)
154,66,27,low,43,Sarvangasana (Shoulder Stand),Setu Bandha Sarvangasana (Bridge Pose),Knees to Chest (Apanasana)
144,74,35,low,32,Matsyasana (Fish Pose),Bhujangasana  (Cobra pose),Cobbler’s Pose (Baddha Konasana)
191,110,30,low,23,Pavanamuktasana (Wind Relieving Pose),Navasana (Boat Pose),Locust Pose (Salabhasana)
154,95,40,low,49,Savasana (Corpse Pose),Utkatasana (Chair pose),Dandasana (plank pose)
141,84,42,low,38,Supta Badhakonasana (Reclining butterfly pose),Trikonasana (Triangle Pose),Viparita Karni (Inclined pose)
144,72,34,low,25,Chakrasana (Wheel Pose),Virabhadrasana 2 ( Warrior 2),Corpse Pose (Savasana)
141,69,34,low,59,Dhanurasana (Bow Pose),Dhanurasana (Bow pose),Legs Up the Wall ( Viparita Karani)
155,90,37,low,30,Bhujangasana (Cobra Pose),Setu Bandha Sarvangasana (Bridge Pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
176,90,29,low,22,Vajrasana (Diamond/ Thunderbolt Pose),Bhujangasana  (Cobra pose),Downward Facing Dog (Adho Mukha Shwanasana)
186,79,22,low,44,Sarvangasana (Shoulder Stand),Navasana (Boat Pose),Knees to Chest (Apanasana)
186,106,30,low,55,Matsyasana (Fish Pose),Utkatasana (Chair pose),Cobbler’s Pose (Baddha Konasana)
152,73,31,low,43,Pavanamuktasana (Wind Relieving Pose),Trikonasana (Triangle Pose),Locust Pose (Salabhasana)
163,94,35,low,28,Savasana (Corpse Pose),Virabhadrasana 2 ( Warrior 2),Dandasana (plank pose)
189,100,27,low,20,Supta Badhakonasana (Reclining butterfly pose),Dhanurasana (Bow pose),Viparita Karni (Inclined pose)
159,109,43,low,26,Chakrasana (Wheel Pose),Setu Bandha Sarvangasana (Bridge Pose),Corpse Pose (Savasana)
176,85,27,low,58,Dhanurasana (Bow Pose),Bhujangasana  (Cobra pose),Legs Up the Wall ( Viparita Karani)
153,108,46,low,35,Bhujangasana (Cobra Pose),Navasana (Boat Pose),Cat-Cow Stretch (Marjaryasana-Bitilasana)
146,90,42,low,39,Chakrasana (Wheel Pose),Utkatasana (Chair pose),Downward Facing Dog (Adho Mukha Shwanasana)
141,103,51,low,38,Dhanurasana (Bow Pose),Trikonasana (Triangle Pose),Knees to Chest (Apanasana)
